                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9206,                 1.9106,                 1.2351,                0.87245,                0.29897,                0.49841,                0.23909,                 1.8942,                 2.2381,                 1.2006,                0.00052,                0.00052,                0.00052
                      2,                 1.9263,                 1.1989,                 1.2795,                0.71631,                0.47389,                0.54625,                 0.2276,                 2.0726,                 1.6133,                 1.2759,               0.001053,               0.001053,               0.001053
                      3,                 1.9563,                 1.1845,                 1.2869,                0.69538,                0.52471,                0.59259,                0.27273,                 1.9444,                 1.1816,                 1.2578,              0.0015789,              0.0015789,              0.0015789
                      4,                 1.9931,                 1.1826,                 1.2907,                0.73431,                0.52904,                0.58763,                0.25523,                 2.0345,                 1.1773,                 1.3288,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.9932,                  1.154,                 1.2999,                 0.7436,                0.54761,                0.62618,                0.27215,                 1.9652,                 1.1533,                 1.2941,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.9832,                 1.1568,                 1.2986,                0.72621,                 0.5573,                0.62849,                0.26731,                 1.9947,                 1.1464,                 1.3203,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.9567,                 1.1423,                 1.2866,                0.72964,                0.55215,                 0.6235,                0.26947,                 1.9854,                  1.178,                 1.2946,               0.001934,               0.001934,               0.001934
                      8,                 1.9503,                 1.1579,                 1.3045,                0.72606,                0.56409,                0.63686,                0.28264,                 1.9322,                  1.113,                 1.2892,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.9539,                 1.1271,                 1.2882,                0.72203,                0.56225,                0.63882,                0.27682,                 1.9529,                 1.1053,                 1.3049,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.9704,                 1.1456,                  1.314,                0.70926,                0.56352,                0.62306,                 0.2632,                  1.959,                 1.2093,                 1.3272,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.9883,                 1.1445,                 1.3079,                0.73772,                0.56625,                0.63908,                0.27554,                 1.9619,                 1.0969,                 1.3119,              0.0018812,              0.0018812,              0.0018812
                     12,                  1.975,                  1.114,                 1.2889,                0.71999,                0.52457,                0.60731,                0.26239,                 2.0036,                 1.1043,                  1.319,               0.001868,               0.001868,               0.001868
                     13,                 1.9351,                 1.1074,                 1.3096,                0.73139,                 0.5305,                0.60556,                 0.2644,                 1.9882,                 1.0953,                 1.3284,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.9518,                 1.1394,                 1.3115,                0.71884,                0.54538,                0.60795,                 0.2596,                 1.9881,                 1.0953,                 1.3434,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.9259,                 1.0962,                 1.2727,                0.73343,                0.55905,                0.64174,                0.29524,                 1.8849,                 1.0513,                 1.2659,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.9256,                 1.0836,                  1.285,                0.71983,                 0.5682,                0.63872,                0.28517,                 1.9267,                 1.0926,                 1.2836,              0.0018152,              0.0018152,              0.0018152
                     17,                 1.9442,                 1.0646,                 1.2626,                0.75747,                0.57965,                0.66429,                0.30212,                 1.9038,                 1.0283,                 1.2705,               0.001802,               0.001802,               0.001802
                     18,                 1.9087,                 1.0977,                 1.2773,                 0.7556,                0.57468,                0.66295,                0.29671,                 1.9218,                 1.0169,                 1.2798,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.9359,                 1.0749,                 1.2768,                0.74587,                0.57169,                0.64994,                0.28011,                 1.9432,                 1.0708,                 1.3001,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.9379,                 1.0806,                 1.2833,                0.75582,                0.56952,                0.65814,                0.29999,                  1.882,                  1.023,                 1.2665,              0.0017624,              0.0017624,              0.0017624
                     21,                  1.904,                 1.0625,                 1.2584,                0.75096,                0.58572,                 0.6618,                0.29322,                  1.936,                 1.0074,                 1.2927,              0.0017492,              0.0017492,              0.0017492
                     22,                 1.8975,                 1.0638,                  1.284,                0.74208,                0.59589,                0.66104,                0.29425,                 1.9067,                 1.0325,                 1.2803,               0.001736,               0.001736,               0.001736
                     23,                 1.8879,                 1.0447,                 1.2628,                0.75501,                0.60149,                0.67608,                0.31072,                 1.8769,                 1.0078,                 1.2671,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.8871,                 1.0557,                 1.2681,                0.75534,                0.59982,                0.67599,                0.30877,                 1.8709,                0.99799,                 1.2596,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.9039,                 1.0415,                   1.27,                0.75706,                0.59667,                0.68133,                0.31444,                 1.8597,                0.98399,                 1.2622,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.9049,                 1.0439,                 1.2654,                0.75249,                0.58251,                0.66993,                0.30392,                 1.9043,                0.99259,                 1.2744,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.8838,                 1.0333,                 1.2607,                0.77157,                0.58369,                  0.671,                 0.2972,                 1.8934,                0.99141,                 1.2732,                0.00167,                0.00167,                0.00167
                     28,                  1.851,                 1.0209,                  1.257,                0.76146,                0.57487,                0.66401,                0.30625,                 1.8892,                 1.0145,                  1.262,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.8896,                 1.0194,                 1.2523,                0.78193,                0.60729,                0.69773,                0.33232,                 1.8057,                 0.9626,                 1.2324,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.8789,                 1.0276,                 1.2669,                0.77109,                0.59835,                0.67649,                0.30811,                 1.8838,                0.96937,                 1.2697,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.8621,                 1.0036,                 1.2594,                0.74994,                0.59214,                0.67977,                0.31931,                 1.8339,                0.96999,                 1.2419,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.8772,                 1.0176,                 1.2508,                0.77261,                0.59792,                0.68642,                0.31859,                 1.8511,                0.95612,                 1.2547,               0.001604,               0.001604,               0.001604
                     33,                 1.8529,                 1.0022,                  1.248,                0.78753,                 0.6017,                0.69301,                0.32204,                 1.8288,                0.94603,                 1.2422,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.8226,                0.98645,                 1.2425,                0.76651,                0.59172,                0.67778,                0.30778,                 1.8857,                0.96031,                 1.2634,              0.0015776,              0.0015776,              0.0015776
                     35,                 1.8303,                 0.9909,                 1.2536,                0.78219,                0.60113,                0.69706,                0.31763,                 1.8644,                0.95239,                 1.2526,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.8536,                0.99137,                 1.2426,                0.78904,                0.60598,                  0.704,                0.33892,                 1.7922,                0.92013,                 1.2224,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.8639,                0.99783,                 1.2476,                0.76743,                0.59884,                0.68813,                0.32054,                 1.8553,                0.98589,                 1.2523,               0.001538,               0.001538,               0.001538
                     38,                 1.8579,                 1.0025,                 1.2581,                0.79767,                0.59553,                0.70047,                 0.3397,                 1.8001,                0.91469,                 1.2254,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.8512,                 1.0011,                 1.2537,                0.77841,                0.60715,                0.69974,                0.33699,                 1.7877,                0.94683,                  1.224,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.8183,                0.97775,                 1.2341,                0.79324,                0.61036,                0.70732,                0.34652,                 1.7834,                0.92093,                 1.2238,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.8207,                 0.9563,                 1.2257,                0.79723,                0.61887,                  0.712,                0.34805,                 1.7646,                0.91357,                 1.2142,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.8198,                0.97689,                 1.2353,                0.80237,                0.61189,                0.70991,                0.34254,                 1.7817,                0.90458,                 1.2168,               0.001472,               0.001472,               0.001472
                     43,                 1.8289,                0.98045,                 1.2315,                0.80175,                0.59947,                0.69858,                 0.3372,                 1.7788,                0.90664,                 1.2144,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.7992,                0.97345,                 1.2329,                0.80169,                0.59542,                0.70123,                0.34132,                 1.7611,                0.90493,                 1.2082,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.8094,                0.96423,                 1.2253,                0.79553,                0.60498,                0.70709,                0.34753,                 1.7584,                0.89332,                 1.2014,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.7722,                0.95698,                 1.2171,                0.79116,                0.61573,                0.70783,                0.35034,                 1.7431,                0.90924,                 1.1955,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.8176,                0.95847,                 1.2384,                0.80428,                0.61872,                0.71304,                0.34781,                 1.7592,                0.89361,                 1.2151,               0.001406,               0.001406,               0.001406
                     48,                 1.8095,                0.96378,                 1.2079,                0.79856,                0.61636,                0.71663,                0.35418,                 1.7505,                 0.9009,                 1.2061,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.7909,                0.95118,                 1.2345,                0.78796,                0.61217,                 0.7066,                0.34618,                 1.7737,                0.90045,                 1.2061,              0.0013796,              0.0013796,              0.0013796
                     50,                  1.793,                0.95128,                  1.221,                0.79074,                0.62313,                0.71763,                0.35374,                 1.7337,                0.89552,                 1.1952,              0.0013664,              0.0013664,              0.0013664
                     51,                 1.7637,                0.93532,                 1.2104,                0.80921,                0.63119,                0.73038,                0.36817,                 1.6868,                  0.884,                 1.1887,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.7564,                0.92907,                 1.2069,                0.80797,                0.61852,                0.71796,                0.35386,                 1.7272,                0.87258,                 1.1933,                0.00134,                0.00134,                0.00134
                     53,                 1.7827,                0.94378,                 1.2228,                 0.7889,                0.60484,                0.70299,                0.34646,                 1.7484,                0.90205,                 1.2133,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.8005,                0.95623,                 1.2211,                0.79718,                0.62474,                0.72152,                0.36446,                 1.6952,                0.89576,                 1.1821,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7512,                0.91496,                 1.2067,                0.80848,                 0.6403,                0.73449,                0.36723,                 1.7058,                0.86561,                 1.1897,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.7431,                0.92145,                 1.2038,                 0.8139,                0.64142,                 0.7376,                0.37715,                 1.6781,                0.85387,                 1.1764,              0.0012872,              0.0012872,              0.0012872
                     57,                 1.7624,                0.92948,                 1.2113,                0.80615,                0.63758,                0.73075,                0.37128,                 1.6901,                 0.8538,                 1.1797,               0.001274,               0.001274,               0.001274
                     58,                 1.7836,                0.93048,                  1.203,                0.81057,                0.64427,                0.73681,                0.37842,                 1.6729,                0.84744,                 1.1749,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.7335,                0.91308,                 1.1944,                0.82199,                0.64093,                0.74617,                0.38404,                 1.6494,                0.83792,                 1.1629,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.7304,                0.91217,                 1.2076,                0.82001,                0.64302,                0.73962,                 0.3751,                 1.6884,                0.84279,                 1.1781,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.7353,                 0.9156,                 1.1988,                0.80237,                0.61751,                0.71744,                0.36708,                 1.6995,                0.85191,                 1.1793,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.7498,                 0.9111,                 1.1904,                0.80494,                0.63144,                0.73308,                0.37768,                 1.6838,                0.83971,                 1.1689,               0.001208,               0.001208,               0.001208
                     63,                 1.7405,                0.91756,                 1.2012,                0.81073,                  0.641,                 0.7414,                0.38327,                 1.6582,                 0.8414,                 1.1619,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.7075,                0.90145,                 1.1985,                0.82239,                 0.6447,                0.74491,                0.39009,                 1.6357,                0.81819,                 1.1565,              0.0011816,              0.0011816,              0.0011816
                     65,                  1.701,                0.89366,                 1.1836,                0.82186,                0.64254,                0.74268,                0.38662,                 1.6413,                0.82093,                 1.1544,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.7394,                0.91596,                 1.1945,                0.81655,                0.64484,                0.74229,                0.37924,                 1.6742,                0.83974,                 1.1714,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.7099,                0.90236,                 1.1967,                0.82169,                0.65011,                0.74695,                0.39145,                 1.6402,                0.80829,                 1.1518,               0.001142,               0.001142,               0.001142
                     68,                 1.7072,                0.91288,                 1.1982,                0.82354,                0.63807,                0.73781,                0.38249,                  1.656,                0.83907,                 1.1589,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.7039,                0.89222,                 1.1873,                0.82201,                0.63928,                0.73815,                0.38446,                 1.6404,                0.83576,                 1.1617,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.6995,                0.88761,                 1.1869,                 0.8223,                0.65182,                0.74972,                0.39529,                 1.6271,                0.80719,                 1.1459,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.7009,                 0.9015,                 1.1847,                0.83295,                0.64184,                 0.7458,                0.39351,                 1.6147,                0.81504,                 1.1516,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.7165,                0.89502,                 1.1888,                0.82567,                 0.6407,                 0.7455,                0.39871,                 1.5994,                0.81435,                 1.1498,               0.001076,               0.001076,               0.001076
                     73,                 1.6908,                 0.8824,                 1.1799,                0.82453,                0.65189,                0.75079,                0.39567,                 1.6182,                0.80972,                 1.1531,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.6896,                0.88371,                 1.1867,                0.83435,                0.63919,                 0.7476,                0.39715,                 1.5922,                0.81258,                 1.1453,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.6806,                0.88061,                 1.1799,                0.82372,                0.65657,                0.75665,                0.40736,                 1.5872,                 0.7964,                 1.1333,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.6784,                0.88517,                 1.1911,                 0.8246,                 0.6481,                0.74934,                0.39605,                 1.6068,                0.80695,                 1.1469,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.6825,                0.88245,                 1.1775,                 0.8338,                0.64931,                0.75514,                0.40375,                  1.601,                0.79535,                 1.1384,                0.00101,                0.00101,                0.00101
                     78,                 1.6698,                0.86614,                 1.1694,                0.82929,                0.65238,                0.75276,                0.40102,                 1.6079,                0.79783,                 1.1405,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.6719,                0.87154,                 1.1735,                0.83807,                0.64737,                0.75164,                 0.4004,                 1.6029,                0.80323,                 1.1412,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.6927,                0.86985,                 1.1765,                0.83276,                 0.6491,                 0.7524,                0.40563,                 1.5829,                0.78626,                  1.141,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.6568,                  0.865,                 1.1712,                0.83904,                0.64889,                0.75517,                0.40417,                 1.5735,                0.79918,                 1.1323,              0.0009572,              0.0009572,              0.0009572
                     82,                  1.702,                0.87436,                  1.179,                0.83289,                0.64812,                0.74903,                0.40154,                 1.6028,                0.79089,                 1.1412,               0.000944,               0.000944,               0.000944
                     83,                 1.6603,                0.85511,                 1.1715,                0.82503,                 0.6581,                0.75417,                0.40655,                   1.57,                0.79273,                 1.1316,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.6548,                0.85908,                 1.1617,                0.83642,                0.65545,                0.76014,                0.41405,                 1.5455,                0.78037,                 1.1262,              0.0009176,              0.0009176,              0.0009176
                     85,                  1.641,                0.84602,                 1.1599,                0.84052,                0.65044,                0.75761,                0.41375,                 1.5548,                0.77339,                 1.1208,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.6609,                0.85769,                 1.1764,                0.82873,                0.65422,                 0.7571,                0.40864,                 1.5662,                0.77933,                 1.1264,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.6622,                0.85036,                 1.1635,                0.82232,                0.65838,                0.75589,                0.41454,                 1.5508,                0.78971,                 1.1255,               0.000878,               0.000878,               0.000878
                     88,                  1.643,                0.85116,                 1.1566,                0.83067,                0.66222,                0.76243,                0.41543,                 1.5741,                0.77333,                 1.1242,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.6725,                0.85999,                 1.1626,                0.83006,                0.66006,                0.76112,                 0.4164,                 1.5541,                 0.7781,                 1.1188,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.6324,                0.84192,                  1.155,                0.83312,                0.65966,                0.76042,                0.41849,                 1.5409,                0.76888,                 1.1146,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.6531,                0.85921,                 1.1672,                0.83402,                0.65485,                0.75942,                0.41188,                 1.5416,                0.77901,                 1.1165,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.6224,                0.84615,                  1.151,                0.84538,                0.65873,                0.76586,                0.42803,                 1.5028,                0.76543,                 1.1065,               0.000812,               0.000812,               0.000812
                     93,                 1.5972,                 0.8343,                 1.1509,                0.83845,                0.65971,                0.76646,                0.42847,                 1.5109,                0.76527,                 1.1067,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.6202,                0.84705,                 1.1547,                0.83797,                0.64624,                0.75506,                0.41593,                 1.5421,                0.77065,                 1.1139,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.6049,                0.83007,                 1.1445,                0.83994,                 0.6468,                0.75686,                 0.4222,                 1.5227,                0.75467,                 1.1058,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.6082,                0.82747,                 1.1455,                0.84549,                0.65927,                0.76546,                0.42926,                  1.507,                0.74517,                 1.1038,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.5966,                0.82361,                 1.1496,                0.85152,                0.65957,                0.76484,                0.42726,                 1.4976,                0.75925,                 1.1057,               0.000746,               0.000746,               0.000746
                     98,                 1.6306,                0.85014,                   1.15,                0.84036,                0.66823,                0.76838,                0.43317,                 1.4847,                0.75549,                 1.0996,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.6124,                0.82721,                 1.1371,                0.85101,                0.66278,                0.76978,                0.43238,                 1.4992,                 0.7374,                 1.1006,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.6321,                0.83756,                 1.1507,                0.85418,                0.65956,                0.76795,                0.43368,                 1.4876,                0.74485,                 1.0955,              0.0007064,              0.0007064,              0.0007064
                    101,                  1.588,                0.81563,                  1.142,                 0.8576,                0.66809,                  0.777,                0.43766,                 1.4836,                0.73845,                  1.095,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.6236,                0.83701,                 1.1393,                0.84549,                0.66983,                0.77386,                0.43703,                 1.4786,                0.74016,                 1.0912,                0.00068,                0.00068,                0.00068
                    103,                 1.6071,                0.83311,                 1.1509,                0.84844,                0.66173,                0.77038,                0.43452,                 1.4852,                0.74348,                 1.0919,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.6078,                0.82122,                 1.1302,                0.85378,                0.66048,                0.77121,                0.43529,                 1.4786,                0.73549,                 1.0875,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.5842,                0.81521,                 1.1359,                0.85941,                0.65927,                0.77231,                0.44092,                 1.4594,                0.73244,                 1.0848,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.5959,                0.81585,                 1.1399,                0.86189,                 0.6761,                0.77825,                0.43841,                 1.4776,                0.74286,                  1.092,              0.0006272,              0.0006272,              0.0006272
                    107,                 1.5797,                0.81781,                 1.1312,                0.84987,                0.67609,                0.77816,                0.44692,                 1.4547,                0.72569,                 1.0835,               0.000614,               0.000614,               0.000614
                    108,                 1.6011,                0.81942,                 1.1323,                0.84288,                0.67927,                 0.7782,                0.44717,                 1.4578,                0.72126,                 1.0832,              0.0006008,              0.0006008,              0.0006008
                    109,                 1.5962,                0.81212,                 1.1421,                0.85097,                0.67402,                0.78178,                0.44959,                 1.4465,                0.71851,                  1.076,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.5635,                0.80257,                 1.1263,                0.85311,                0.67486,                0.77988,                0.44918,                 1.4355,                0.72928,                 1.0756,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.5916,                 0.8167,                 1.1355,                0.84863,                0.67828,                0.78215,                 0.4536,                 1.4274,                0.71874,                 1.0746,              0.0005612,              0.0005612,              0.0005612
