                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6433,                0.84919,                 1.1657,                0.81671,                0.61755,                0.71623,                0.39234,                 1.5512,                0.77841,                 1.1227,                0.00064,                0.00064,                0.00064
                      2,                 1.6967,                0.87019,                 1.1717,                0.79611,                0.61765,                 0.7045,                0.36874,                 1.6474,                0.82046,                 1.1659,              0.0012957,              0.0012957,              0.0012957
                      3,                 1.7277,                0.88757,                 1.1842,                0.79792,                0.59901,                0.69311,                0.35501,                  1.688,                0.84878,                 1.1761,              0.0019471,              0.0019471,              0.0019471
                      4,                 1.7725,                0.92541,                 1.2033,                0.78581,                  0.598,                0.69097,                0.34311,                 1.7421,                0.86823,                 1.1969,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.7815,                0.92318,                 1.2068,                0.77787,                0.58722,                0.67801,                0.34085,                 1.7094,                0.92713,                 1.1895,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.7679,                0.91719,                 1.2004,                 0.7723,                0.58975,                0.67505,                0.33848,                 1.7392,                0.93032,                 1.1923,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.7861,                 0.9279,                 1.2125,                0.79123,                0.59442,                0.67798,                0.32361,                 1.8083,                0.92101,                 1.2228,               0.001967,               0.001967,               0.001967
                      8,                 1.7852,                 0.9392,                 1.2136,                0.79329,                0.60821,                0.69829,                0.35534,                  1.694,                0.85586,                 1.1775,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.7854,                0.93287,                 1.2119,                0.78801,                0.60077,                0.69155,                0.34103,                 1.7612,                0.86121,                 1.2045,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.7683,                0.92031,                  1.211,                0.77835,                0.59598,                0.68802,                0.34061,                 1.7482,                0.88048,                 1.1877,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.7806,                0.93034,                 1.2164,                0.77345,                0.61067,                0.69465,                0.35009,                  1.722,                0.86568,                 1.1936,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.7587,                0.93031,                 1.2059,                0.78639,                0.60328,                0.69383,                0.35243,                 1.6917,                0.87179,                 1.1774,               0.001934,               0.001934,               0.001934
                     13,                 1.7591,                0.90669,                 1.1981,                0.77422,                0.58972,                 0.6738,                0.33717,                 1.7436,                0.88835,                  1.204,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.7565,                0.90285,                 1.2042,                0.78491,                0.60724,                0.69679,                 0.3509,                 1.7022,                0.87773,                 1.1861,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.7473,                0.90302,                 1.1991,                0.77944,                0.59614,                0.68483,                0.33636,                 1.7678,                0.87786,                 1.2032,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.7585,                 0.9126,                 1.2022,                0.79356,                0.60893,                 0.7011,                0.35612,                 1.6969,                0.84428,                 1.1808,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.7506,                 0.9046,                 1.1987,                0.79704,                0.60919,                0.69558,                0.34996,                 1.7104,                0.85467,                 1.1918,               0.001901,               0.001901,               0.001901
                     18,                 1.7531,                0.92142,                 1.2131,                0.80787,                 0.6079,                0.70507,                0.36237,                 1.6807,                0.84106,                  1.164,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.7626,                0.92322,                 1.2019,                0.78617,                0.57004,                0.66356,                0.33028,                 1.7511,                0.87711,                 1.2037,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.7771,                0.92018,                  1.206,                0.78532,                0.60151,                0.69334,                0.35515,                 1.6896,                0.84046,                 1.1707,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.7459,                0.90348,                 1.1867,                0.79642,                    0.6,                0.69615,                0.35352,                 1.6943,                0.84496,                 1.1804,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.7597,                0.90705,                 1.1999,                0.80409,                0.61088,                0.70891,                0.36254,                 1.6903,                0.83029,                 1.1748,               0.001868,               0.001868,               0.001868
                     23,                 1.7747,                0.91875,                 1.1962,                0.78773,                0.59969,                0.69127,                0.35357,                 1.6782,                0.84398,                 1.1668,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.7861,                0.92815,                 1.2016,                0.79345,                 0.5941,                0.69321,                0.35686,                 1.6852,                0.85329,                 1.1703,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.7461,                0.92715,                 1.2069,                0.79549,                0.59379,                0.69213,                0.34644,                 1.7256,                0.84664,                 1.1856,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.7544,                0.90506,                 1.1969,                0.79084,                0.59697,                0.69449,                0.35155,                 1.7029,                0.84532,                 1.1776,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.7244,                0.89841,                 1.2044,                0.78546,                0.61617,                0.70312,                0.35996,                 1.6823,                0.84516,                 1.1669,               0.001835,               0.001835,               0.001835
                     28,                 1.7206,                0.88886,                 1.1875,                0.79789,                0.61269,                0.70745,                 0.3637,                 1.6777,                0.82876,                 1.1674,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.7132,                0.89016,                 1.1888,                0.80573,                0.60241,                0.70236,                0.35823,                 1.7003,                0.82144,                 1.1698,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.7132,                0.88729,                 1.1893,                 0.7867,                0.61707,                0.70289,                0.35457,                 1.7016,                0.86437,                 1.1888,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.7385,                0.90259,                 1.1892,                0.79484,                0.61062,                0.70159,                 0.3561,                 1.7173,                0.84032,                 1.1854,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.7636,                0.90575,                 1.1996,                0.78798,                0.61381,                0.70612,                0.36081,                  1.678,                0.84559,                 1.1614,               0.001802,               0.001802,               0.001802
                     33,                 1.7414,                0.89253,                 1.1836,                0.80633,                0.60939,                0.70685,                0.36783,                 1.6513,                0.81615,                 1.1632,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.7214,                 0.8904,                 1.1812,                0.81302,                0.62325,                0.71917,                0.37881,                  1.611,                0.81548,                 1.1483,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.7174,                0.89128,                 1.1926,                0.79234,                0.61507,                0.71035,                0.36295,                 1.6665,                0.83551,                 1.1662,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.6976,                0.87805,                 1.1711,                0.78051,                0.63048,                0.70898,                 0.3604,                   1.68,                0.87106,                 1.1779,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.7075,                0.88295,                 1.1859,                0.79893,                0.61177,                0.70773,                 0.3638,                 1.6704,                0.82494,                 1.1681,               0.001769,               0.001769,               0.001769
                     38,                 1.6933,                0.87565,                 1.1826,                0.81049,                0.61776,                 0.7162,                0.36841,                 1.6582,                0.82293,                 1.1592,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.7301,                0.88607,                 1.1877,                0.81037,                0.60811,                0.70828,                0.36127,                 1.6802,                0.81587,                  1.165,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.7126,                0.88248,                 1.1844,                0.80564,                0.61591,                0.71129,                0.35576,                 1.6667,                0.83979,                 1.1661,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.7117,                0.88118,                 1.1704,                0.81327,                0.61714,                0.71705,                0.37223,                  1.654,                0.80441,                 1.1539,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.6822,                0.86986,                 1.1772,                 0.8021,                0.62977,                0.71942,                0.37435,                  1.643,                0.82428,                 1.1498,               0.001736,               0.001736,               0.001736
                     43,                 1.6862,                0.87531,                 1.1814,                0.80939,                0.62386,                0.72117,                0.37828,                 1.6231,                0.79973,                 1.1475,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.6768,                0.86725,                 1.1718,                0.80419,                 0.6272,                0.71917,                0.37956,                  1.615,                0.83042,                 1.1518,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.7012,                0.86635,                 1.1689,                0.81303,                0.63623,                0.73151,                0.38705,                 1.6027,                0.79794,                 1.1399,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.6779,                0.86096,                  1.172,                0.80811,                0.62597,                0.71986,                0.38024,                 1.6207,                0.81132,                 1.1438,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.6752,                0.86358,                 1.1714,                0.81844,                0.63469,                0.73404,                0.39337,                 1.5837,                0.77896,                 1.1283,               0.001703,               0.001703,               0.001703
                     48,                 1.6707,                0.86528,                 1.1796,                0.80645,                0.60516,                0.70613,                0.36856,                 1.6538,                0.81655,                  1.158,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.6488,                0.84822,                 1.1576,                0.81983,                0.63659,                0.73126,                0.39218,                 1.5845,                0.78778,                 1.1299,              0.0016898,              0.0016898,              0.0016898
                     50,                 1.6721,                0.86531,                 1.1606,                0.81239,                0.62916,                0.72908,                0.38568,                 1.6029,                0.79357,                 1.1336,              0.0016832,              0.0016832,              0.0016832
                     51,                 1.6784,                0.87092,                 1.1775,                0.80234,                0.61139,                0.71266,                0.38043,                 1.6004,                0.80934,                 1.1339,              0.0016766,              0.0016766,              0.0016766
                     52,                  1.725,                 0.8832,                 1.1702,                0.81512,                0.62068,                0.72212,                0.38989,                 1.5832,                0.79684,                 1.1304,                0.00167,                0.00167,                0.00167
                     53,                 1.6938,                0.87363,                 1.1719,                0.82287,                0.63936,                0.73643,                 0.3962,                 1.5777,                0.78592,                 1.1271,              0.0016634,              0.0016634,              0.0016634
                     54,                 1.6777,                0.85186,                  1.157,                 0.8119,                0.63562,                0.72997,                0.39178,                 1.5945,                0.77949,                 1.1333,              0.0016568,              0.0016568,              0.0016568
                     55,                 1.6379,                0.84229,                 1.1653,                0.81126,                0.63541,                0.72898,                0.38621,                 1.5916,                0.79391,                 1.1381,              0.0016502,              0.0016502,              0.0016502
                     56,                 1.6568,                0.84469,                   1.16,                0.81305,                0.63744,                0.73319,                0.39978,                  1.561,                0.77146,                 1.1178,              0.0016436,              0.0016436,              0.0016436
                     57,                 1.6662,                0.84819,                 1.1601,                0.81295,                0.63007,                 0.7319,                0.40242,                 1.5435,                0.78419,                 1.1149,               0.001637,               0.001637,               0.001637
                     58,                  1.635,                0.83573,                 1.1494,                0.81238,                0.63132,                0.73014,                0.39804,                 1.5472,                0.77676,                 1.1156,              0.0016304,              0.0016304,              0.0016304
                     59,                 1.6482,                0.84767,                 1.1504,                0.82911,                 0.6368,                0.73854,                0.40327,                 1.5574,                0.76177,                 1.1107,              0.0016238,              0.0016238,              0.0016238
                     60,                 1.6655,                0.84792,                 1.1524,                0.81853,                0.64521,                0.73693,                0.39691,                 1.5757,                0.77343,                 1.1243,              0.0016172,              0.0016172,              0.0016172
                     61,                 1.6594,                0.84288,                 1.1743,                0.81601,                0.64511,                 0.7369,                0.39827,                 1.5634,                0.77063,                 1.1211,              0.0016106,              0.0016106,              0.0016106
                     62,                 1.6553,                0.84298,                 1.1498,                0.81239,                0.64455,                0.73698,                0.40084,                 1.5594,                0.77273,                 1.1163,               0.001604,               0.001604,               0.001604
                     63,                 1.6871,                0.85351,                 1.1621,                0.81921,                 0.6358,                0.73235,                0.39637,                 1.5541,                 0.7834,                  1.123,              0.0015974,              0.0015974,              0.0015974
                     64,                   1.66,                0.83688,                 1.1535,                0.81875,                0.63644,                0.73365,                0.39697,                  1.572,                0.77319,                 1.1234,              0.0015908,              0.0015908,              0.0015908
                     65,                 1.6517,                0.84388,                  1.151,                0.81775,                0.63212,                0.73252,                0.39208,                 1.5816,                0.77564,                 1.1244,              0.0015842,              0.0015842,              0.0015842
                     66,                 1.6647,                0.84209,                 1.1419,                  0.819,                0.63628,                0.73653,                0.39582,                 1.5818,                0.77548,                 1.1228,              0.0015776,              0.0015776,              0.0015776
                     67,                 1.6195,                0.82767,                 1.1473,                0.81791,                0.63623,                0.73365,                0.39447,                 1.5794,                0.79115,                  1.132,               0.001571,               0.001571,               0.001571
                     68,                 1.6326,                0.84124,                 1.1657,                0.82898,                0.64793,                0.74492,                0.40498,                 1.5554,                0.74996,                 1.1194,              0.0015644,              0.0015644,              0.0015644
                     69,                 1.6203,                 0.8326,                 1.1517,                0.81392,                0.63347,                0.72947,                0.38756,                 1.6123,                0.78002,                  1.138,              0.0015578,              0.0015578,              0.0015578
                     70,                 1.6208,                0.82983,                 1.1525,                0.82369,                0.64043,                0.73737,                0.39425,                 1.5801,                0.76505,                 1.1284,              0.0015512,              0.0015512,              0.0015512
                     71,                 1.5958,                 0.8196,                 1.1457,                0.83162,                0.64444,                0.74273,                0.40718,                 1.5444,                 0.7575,                 1.1166,              0.0015446,              0.0015446,              0.0015446
                     72,                 1.6283,                0.83006,                 1.1465,                0.81759,                0.64706,                0.73901,                0.40338,                  1.553,                0.77269,                 1.1194,               0.001538,               0.001538,               0.001538
                     73,                 1.6416,                0.83631,                 1.1465,                0.82364,                0.64039,                0.73602,                0.39747,                 1.5669,                 0.7581,                 1.1223,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.6066,                0.81834,                 1.1453,                0.82868,                0.64434,                0.74283,                0.41658,                 1.5094,                0.75229,                 1.1028,              0.0015248,              0.0015248,              0.0015248
                     75,                 1.6134,                0.81954,                 1.1433,                0.82611,                0.63541,                0.73842,                0.40626,                 1.5378,                0.76335,                 1.1124,              0.0015182,              0.0015182,              0.0015182
                     76,                 1.6245,                0.82202,                 1.1556,                0.82382,                0.64296,                0.73961,                 0.4116,                 1.5135,                0.75462,                 1.1024,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.6118,                0.82042,                 1.1329,                0.82422,                 0.6312,                0.73464,                0.40991,                 1.5083,                0.75686,                 1.0987,               0.001505,               0.001505,               0.001505
                     78,                   1.61,                0.81854,                 1.1474,                0.82152,                0.64963,                0.74584,                0.40437,                 1.5332,                0.76256,                 1.1095,              0.0014984,              0.0014984,              0.0014984
                     79,                 1.6074,                0.81831,                 1.1388,                 0.8252,                0.64181,                0.74458,                0.40834,                 1.5374,                0.75647,                 1.1114,              0.0014918,              0.0014918,              0.0014918
                     80,                 1.6081,                 0.8202,                  1.141,                0.82738,                0.63182,                0.73855,                0.40667,                 1.5349,                0.76202,                 1.1063,              0.0014852,              0.0014852,              0.0014852
                     81,                 1.6257,                   0.83,                  1.142,                0.83909,                0.64306,                0.74882,                0.42012,                 1.4949,                0.73299,                 1.0966,              0.0014786,              0.0014786,              0.0014786
                     82,                 1.5817,                 0.8039,                 1.1284,                0.83804,                0.64465,                0.74651,                 0.4092,                 1.5316,                0.74611,                 1.1096,               0.001472,               0.001472,               0.001472
                     83,                 1.5937,                0.80837,                 1.1319,                0.83322,                0.63434,                0.74324,                0.41345,                 1.5152,                0.74483,                 1.1034,              0.0014654,              0.0014654,              0.0014654
                     84,                 1.6026,                0.80944,                 1.1342,                0.82623,                0.64958,                0.74986,                0.42352,                 1.4818,                 0.7359,                 1.0882,              0.0014588,              0.0014588,              0.0014588
                     85,                 1.6288,                0.82107,                 1.1417,                0.83551,                0.65189,                0.75264,                0.42924,                 1.4643,                0.72495,                 1.0851,              0.0014522,              0.0014522,              0.0014522
                     86,                 1.5887,                0.80598,                   1.13,                0.83387,                0.65466,                0.74765,                0.41993,                 1.4909,                0.74248,                 1.0925,              0.0014456,              0.0014456,              0.0014456
                     87,                 1.5916,                0.80501,                 1.1271,                0.83369,                0.64701,                0.74839,                0.41894,                 1.5024,                 0.7407,                 1.0996,               0.001439,               0.001439,               0.001439
                     88,                  1.619,                0.82402,                 1.1385,                0.82996,                0.64655,                0.74947,                0.42567,                 1.4823,                 0.7321,                 1.0868,              0.0014324,              0.0014324,              0.0014324
                     89,                 1.6025,                0.81637,                   1.14,                0.82214,                0.64824,                0.74609,                0.41786,                 1.4946,                0.74486,                 1.0915,              0.0014258,              0.0014258,              0.0014258
                     90,                 1.5849,                0.81226,                 1.1268,                0.82685,                0.64855,                0.74915,                0.41844,                 1.4993,                0.74031,                 1.0895,              0.0014192,              0.0014192,              0.0014192
                     91,                 1.5944,                0.80374,                 1.1255,                0.83617,                0.65461,                0.75479,                0.42509,                 1.4745,                0.74076,                 1.0882,              0.0014126,              0.0014126,              0.0014126
                     92,                 1.5959,                0.81174,                 1.1352,                0.83146,                0.63839,                0.74406,                0.41693,                 1.5048,                0.74455,                 1.0989,               0.001406,               0.001406,               0.001406
                     93,                 1.5628,                 0.7999,                 1.1278,                0.82528,                0.64568,                0.74621,                0.42012,                 1.4884,                0.73922,                  1.094,              0.0013994,              0.0013994,              0.0013994
                     94,                  1.552,                0.79157,                 1.1178,                 0.8335,                0.65168,                 0.7516,                0.42502,                 1.4732,                0.72306,                 1.0831,              0.0013928,              0.0013928,              0.0013928
                     95,                 1.5615,                0.79802,                 1.1257,                0.84473,                0.65522,                0.75559,                0.42971,                 1.4625,                0.71658,                 1.0808,              0.0013862,              0.0013862,              0.0013862
                     96,                 1.5886,                 0.8026,                 1.1269,                0.83448,                0.65158,                0.75276,                0.42802,                 1.4654,                0.73162,                 1.0821,              0.0013796,              0.0013796,              0.0013796
                     97,                 1.5625,                 0.7941,                 1.1249,                0.83839,                0.65168,                0.75363,                0.43162,                 1.4613,                0.71747,                 1.0782,               0.001373,               0.001373,               0.001373
                     98,                 1.5591,                0.79117,                 1.1162,                0.84014,                0.66128,                0.75781,                0.43935,                 1.4284,                0.71247,                 1.0715,              0.0013664,              0.0013664,              0.0013664
                     99,                 1.5785,                0.80576,                 1.1181,                0.83899,                0.65081,                0.75317,                0.42977,                 1.4651,                0.72088,                 1.0786,              0.0013598,              0.0013598,              0.0013598
                    100,                 1.5576,                0.78843,                  1.116,                0.84209,                0.64999,                0.75417,                0.43092,                 1.4477,                0.72366,                 1.0781,              0.0013532,              0.0013532,              0.0013532
                    101,                 1.5539,                0.79495,                 1.1208,                0.83358,                0.65218,                0.75342,                0.42714,                 1.4741,                0.71875,                  1.084,              0.0013466,              0.0013466,              0.0013466
                    102,                 1.5754,                0.79471,                 1.1278,                0.84243,                0.63904,                0.75118,                0.43128,                 1.4584,                0.71459,                 1.0781,                0.00134,                0.00134,                0.00134
                    103,                  1.564,                0.79487,                 1.1182,                0.84276,                0.64696,                0.75405,                0.42883,                 1.4778,                0.72676,                 1.0838,              0.0013334,              0.0013334,              0.0013334
                    104,                 1.5379,                 0.7862,                 1.1157,                0.84437,                0.64208,                0.75067,                0.42622,                 1.4722,                0.72082,                 1.0789,              0.0013268,              0.0013268,              0.0013268
                    105,                 1.5572,                0.79147,                 1.1154,                0.84119,                0.64643,                0.74862,                0.42829,                  1.463,                0.71144,                 1.0843,              0.0013202,              0.0013202,              0.0013202
                    106,                 1.5403,                0.78501,                 1.1118,                0.84593,                0.65763,                0.76289,                0.43995,                 1.4269,                0.70778,                 1.0646,              0.0013136,              0.0013136,              0.0013136
                    107,                 1.5467,                0.78346,                 1.1156,                0.84271,                0.66826,                0.76427,                0.43953,                 1.4274,                0.70627,                 1.0701,               0.001307,               0.001307,               0.001307
                    108,                 1.5424,                 0.7906,                 1.1148,                0.83675,                0.65737,                0.75427,                0.43436,                 1.4392,                  0.715,                  1.067,              0.0013004,              0.0013004,              0.0013004
                    109,                 1.5505,                0.79143,                 1.1146,                0.84469,                0.63454,                0.74276,                0.42409,                 1.4597,                0.70653,                 1.0728,              0.0012938,              0.0012938,              0.0012938
                    110,                 1.5447,                0.77359,                 1.1063,                0.84291,                0.63372,                0.73734,                0.41974,                 1.4605,                0.72104,                 1.0745,              0.0012872,              0.0012872,              0.0012872
                    111,                 1.5681,                 0.7883,                  1.116,                0.84742,                0.66071,                0.75996,                0.43992,                 1.4197,                0.69669,                 1.0632,              0.0012806,              0.0012806,              0.0012806
                    112,                 1.5539,                0.78807,                 1.1141,                0.85395,                0.66195,                0.76816,                0.44635,                  1.406,                 0.6887,                 1.0609,               0.001274,               0.001274,               0.001274
                    113,                 1.5303,                0.76758,                  1.102,                0.85392,                0.65309,                0.76308,                0.44217,                 1.4308,                0.69808,                 1.0659,              0.0012674,              0.0012674,              0.0012674
                    114,                 1.5467,                0.77861,                 1.1138,                0.84902,                0.66118,                0.76391,                0.44769,                 1.4038,                 0.7016,                 1.0596,              0.0012608,              0.0012608,              0.0012608
                    115,                 1.5569,                0.78722,                 1.1084,                0.84573,                0.65584,                 0.7613,                 0.4368,                 1.4379,                0.70208,                 1.0694,              0.0012542,              0.0012542,              0.0012542
                    116,                 1.5395,                0.78776,                 1.1146,                0.84712,                0.65923,                0.76023,                0.44084,                 1.4231,                0.69716,                 1.0654,              0.0012476,              0.0012476,              0.0012476
                    117,                 1.5132,                0.77295,                 1.1113,                0.84862,                0.66703,                0.76623,                0.44739,                 1.4165,                0.69777,                 1.0652,               0.001241,               0.001241,               0.001241
                    118,                 1.5257,                0.76764,                 1.1039,                0.84014,                0.66425,                0.76109,                0.43006,                  1.472,                0.72019,                 1.0844,              0.0012344,              0.0012344,              0.0012344
                    119,                 1.5143,                0.77072,                 1.1054,                0.84302,                0.65676,                0.75804,                0.44003,                 1.4246,                0.69471,                 1.0668,              0.0012278,              0.0012278,              0.0012278
                    120,                 1.5245,                0.76224,                 1.1021,                0.84697,                0.66687,                0.76797,                0.44949,                 1.4101,                0.68592,                 1.0609,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.5176,                0.76858,                 1.1049,                 0.8556,                0.65259,                0.76268,                0.44779,                 1.3986,                 0.6922,                 1.0577,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.5027,                0.75694,                 1.1007,                0.84981,                0.65435,                0.75857,                0.43726,                 1.4315,                0.70342,                 1.0693,               0.001208,               0.001208,               0.001208
                    123,                 1.5099,                0.76147,                 1.1067,                0.84739,                 0.6594,                 0.7656,                0.44993,                 1.4028,                0.68799,                 1.0591,              0.0012014,              0.0012014,              0.0012014
                    124,                  1.532,                0.77567,                 1.1093,                0.84941,                0.65876,                0.76311,                0.44514,                 1.4202,                  0.696,                 1.0654,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.5484,                0.77141,                 1.1082,                0.84221,                0.66838,                 0.7681,                0.45315,                  1.383,                0.70322,                 1.0552,              0.0011882,              0.0011882,              0.0011882
                    126,                  1.492,                0.76747,                 1.1012,                0.85418,                0.66189,                0.77311,                0.45688,                 1.3826,                0.68156,                 1.0476,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.5058,                0.76461,                 1.1044,                0.85617,                 0.6623,                0.76973,                0.45146,                  1.388,                0.67792,                 1.0506,               0.001175,               0.001175,               0.001175
                    128,                 1.5179,                0.76618,                 1.1042,                0.85911,                0.65923,                0.76768,                0.45297,                 1.3941,                0.68216,                  1.054,              0.0011684,              0.0011684,              0.0011684
                    129,                  1.506,                0.76495,                 1.1006,                0.85591,                0.66236,                0.76733,                0.44534,                 1.4286,                0.68719,                 1.0639,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.5127,                0.76596,                 1.1059,                 0.8499,                0.66703,                0.77096,                0.45642,                 1.3898,                0.68144,                 1.0483,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.4937,                0.76348,                 1.0974,                0.85995,                0.65928,                0.77104,                0.45717,                 1.3853,                0.67481,                  1.048,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.5147,                0.76708,                 1.0922,                 0.8554,                0.65902,                0.76645,                0.44835,                 1.3994,                 0.6835,                 1.0618,               0.001142,               0.001142,               0.001142
                    133,                 1.5146,                 0.7675,                 1.0983,                0.85461,                0.66278,                 0.7673,                0.45337,                 1.3713,                0.68075,                 1.0478,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.4914,                0.75627,                 1.0922,                0.85263,                0.66777,                0.77314,                0.46071,                  1.377,                0.67277,                  1.045,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.4844,                  0.756,                 1.0918,                0.85772,                0.66041,                 0.7713,                0.46363,                 1.3558,                 0.6693,                 1.0393,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.5067,                 0.7624,                 1.0979,                0.85071,                0.66441,                0.77101,                0.45688,                 1.3794,                0.68032,                 1.0449,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.4897,                0.75649,                 1.0878,                0.84827,                0.65908,                0.76585,                0.44657,                 1.4135,                0.69303,                 1.0561,               0.001109,               0.001109,               0.001109
                    138,                 1.5098,                 0.7689,                 1.0989,                 0.8511,                0.66585,                0.76732,                 0.4499,                 1.3912,                0.69074,                  1.055,              0.0011024,              0.0011024,              0.0011024
