                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3072,                 0.6639,                 1.0293,                0.87598,                0.69494,                0.79827,                0.51438,                 1.1935,                0.59537,                0.97944,                0.00064,                0.00064,                0.00064
                      2,                 1.3754,                0.69241,                 1.0431,                0.86662,                0.68981,                 0.7926,                 0.4937,                 1.2682,                0.62737,                 1.0032,              0.0012957,              0.0012957,              0.0012957
                      3,                  1.396,                0.70311,                 1.0511,                0.85207,                0.67195,                0.77667,                0.46362,                 1.3679,                0.66387,                 1.0388,              0.0019471,              0.0019471,              0.0019471
                      4,                 1.4368,                0.72584,                 1.0663,                0.84413,                0.67205,                0.76992,                0.44989,                 1.4204,                0.69334,                 1.0579,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4657,                0.73835,                 1.0775,                0.84707,                0.67202,                0.76843,                0.44855,                 1.4044,                0.70063,                 1.0551,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4902,                0.74835,                 1.0819,                0.82689,                0.65681,                0.74719,                0.43212,                 1.4449,                 0.7625,                 1.0731,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.4908,                0.75387,                 1.0826,                0.85674,                0.66482,                0.77254,                0.45365,                 1.4063,                0.68442,                 1.0441,               0.001967,               0.001967,               0.001967
                      8,                 1.4795,                0.74998,                 1.0831,                0.85499,                 0.6776,                 0.7766,                0.45521,                 1.3804,                0.67871,                 1.0453,              0.0019604,              0.0019604,              0.0019604
                      9,                  1.475,                0.74418,                  1.084,                0.85456,                0.65979,                0.76357,                0.44241,                 1.4426,                0.69672,                 1.0624,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4676,                0.73511,                 1.0865,                0.85341,                0.67914,                0.77629,                 0.4622,                 1.3706,                0.67831,                  1.038,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4794,                0.75071,                 1.0864,                0.84476,                0.67493,                0.77149,                0.45362,                 1.4017,                0.68735,                 1.0487,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4768,                0.75511,                 1.0878,                0.84611,                 0.6622,                0.76275,                0.43806,                 1.4444,                0.70207,                 1.0671,               0.001934,               0.001934,               0.001934
                     13,                 1.4708,                0.73572,                  1.078,                0.84153,                0.66338,                 0.7659,                0.44258,                 1.4318,                0.69744,                 1.0641,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.4703,                0.73614,                 1.0852,                0.84823,                0.67719,                0.77262,                0.45231,                 1.4075,                0.68555,                 1.0588,              0.0019208,              0.0019208,              0.0019208
                     15,                  1.471,                0.73919,                 1.0833,                0.84435,                0.65951,                0.76274,                0.43607,                 1.4591,                0.70066,                 1.0732,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.4826,                0.74423,                 1.0863,                0.84198,                0.65532,                0.76039,                0.43197,                 1.4508,                0.70461,                  1.061,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.4842,                0.74757,                 1.0875,                0.85152,                0.67547,                0.77358,                0.45913,                 1.3847,                0.67814,                 1.0479,               0.001901,               0.001901,               0.001901
                     18,                 1.4717,                0.74581,                 1.0928,                0.85028,                0.66423,                0.76834,                0.45445,                 1.4028,                0.68835,                 1.0531,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.4752,                0.74981,                 1.0811,                0.85138,                0.66195,                 0.7653,                0.44761,                 1.4083,                0.68291,                 1.0522,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.4752,                0.74279,                 1.0863,                0.84422,                0.67029,                0.77017,                0.45165,                 1.3941,                0.68886,                 1.0463,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.4849,                0.74805,                 1.0777,                0.85196,                0.67262,                0.77439,                0.45484,                 1.3962,                0.69153,                 1.0547,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.4973,                0.76028,                 1.0903,                0.86668,                0.66389,                0.77291,                0.45763,                 1.3843,                0.66811,                 1.0457,               0.001868,               0.001868,               0.001868
                     23,                 1.5151,                0.76264,                 1.0912,                0.83531,                0.64239,                0.74383,                 0.4305,                 1.4455,                0.69692,                 1.0644,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.516,                0.76337,                 1.0923,                 0.8533,                0.65736,                 0.7655,                0.45436,                 1.3801,                0.67712,                 1.0405,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.4803,                 0.7594,                 1.0923,                0.83593,                0.65804,                0.75395,                0.42264,                 1.4799,                0.70997,                 1.0755,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.4943,                0.75478,                 1.0865,                0.81558,                0.66123,                0.75048,                0.42231,                 1.4928,                0.72373,                 1.0895,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.4633,                0.74658,                 1.0916,                0.85596,                0.66384,                0.76318,                0.44558,                 1.4328,                0.68825,                  1.063,               0.001835,               0.001835,               0.001835
                     28,                 1.4836,                 0.7428,                 1.0863,                0.84816,                0.66446,                0.76814,                0.44754,                 1.4225,                0.68265,                 1.0607,              0.0018284,              0.0018284,              0.0018284
                     29,                  1.466,                0.74859,                 1.0887,                0.85828,                0.67384,                 0.7794,                0.46708,                 1.3569,                0.66764,                 1.0361,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.4716,                0.74639,                 1.0912,                0.84121,                0.66991,                0.76284,                0.43664,                 1.4527,                0.74015,                 1.0737,              0.0018152,              0.0018152,              0.0018152
                     31,                  1.492,                0.75597,                 1.0878,                 0.8335,                 0.6744,                0.76118,                0.44047,                 1.4334,                0.72585,                 1.0638,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.5062,                0.75879,                 1.0923,                0.84634,                0.67474,                0.77104,                0.45063,                 1.4181,                0.68616,                 1.0523,               0.001802,               0.001802,               0.001802
                     33,                  1.496,                0.75333,                 1.0837,                0.84504,                 0.6718,                0.77039,                 0.4527,                 1.3994,                  0.681,                 1.0527,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.4783,                0.74736,                 1.0777,                0.86474,                0.67462,                0.77746,                0.46051,                 1.3675,                0.67019,                 1.0376,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.4872,                0.75919,                 1.0931,                0.85367,                0.66872,                0.77458,                0.45198,                 1.4115,                0.68276,                 1.0538,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.4718,                0.74652,                 1.0772,                0.85385,                0.67883,                0.77602,                 0.4567,                 1.3941,                0.67664,                 1.0501,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.4615,                0.74213,                 1.0828,                0.84381,                0.67021,                0.77071,                0.45052,                 1.4127,                0.69149,                 1.0615,               0.001769,               0.001769,               0.001769
                     38,                 1.4418,                 0.7355,                 1.0758,                0.85126,                0.66759,                0.76909,                 0.4486,                 1.4051,                0.69818,                 1.0574,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.4675,                0.74247,                 1.0797,                0.86712,                0.67983,                0.78352,                0.47329,                 1.3387,                0.65822,                 1.0328,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.4623,                0.74196,                 1.0834,                0.84865,                0.67368,                0.77181,                0.45158,                 1.3925,                0.69657,                 1.0499,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.4655,                0.74078,                 1.0758,                0.85189,                0.67478,                0.77554,                0.45956,                 1.3814,                0.66998,                 1.0422,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.4376,                0.73095,                 1.0758,                0.85353,                0.67637,                0.78089,                0.46056,                 1.3876,                0.67894,                 1.0477,               0.001736,               0.001736,               0.001736
                     43,                 1.4779,                0.75052,                 1.0909,                0.85414,                0.66569,                0.77595,                0.46459,                  1.363,                0.66555,                 1.0327,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.4633,                0.74669,                 1.0836,                 0.8502,                0.68093,                0.77815,                0.46039,                 1.3757,                0.68609,                 1.0421,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.4746,                0.73464,                 1.0743,                0.84174,                0.68057,                0.77593,                0.46006,                 1.3622,                0.69665,                 1.0441,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.4497,                0.72995,                 1.0781,                0.85466,                0.68509,                0.78216,                0.46281,                 1.3673,                0.67377,                  1.035,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.4623,                0.73778,                 1.0828,                0.85744,                0.68668,                0.78232,                 0.4653,                 1.3613,                0.66525,                 1.0393,               0.001703,               0.001703,               0.001703
                     48,                 1.4457,                0.73401,                  1.086,                0.85603,                 0.6603,                0.76884,                0.45857,                 1.3842,                0.67461,                 1.0407,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.4344,                0.72926,                 1.0699,                0.85481,                0.68288,                0.78177,                0.46413,                 1.3772,                0.66914,                 1.0396,              0.0016898,              0.0016898,              0.0016898
