                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5021,                0.76887,                 1.1013,                0.85486,                0.67939,                0.78503,                0.46434,                 1.3934,                0.70106,                 1.0628,                0.00052,                0.00052,                0.00052
                      2,                 1.5426,                0.80525,                  1.131,                0.83124,                0.66774,                0.76574,                0.42363,                 1.5319,                0.75002,                 1.1011,              0.0010565,              0.0010565,              0.0010565
                      3,                 1.5927,                0.83001,                 1.1361,                0.82093,                0.66624,                0.75903,                 0.4144,                 1.5484,                0.81385,                 1.1195,              0.0015894,              0.0015894,              0.0015894
                      4,                 1.6405,                0.85453,                 1.1488,                0.83234,                0.65146,                0.75092,                0.39355,                 1.6343,                0.79876,                 1.1539,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.6721,                0.85468,                 1.1615,                0.80872,                0.66278,                0.74857,                0.40297,                 1.5849,                0.83605,                 1.1369,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.6471,                0.84936,                 1.1603,                0.82392,                 0.6549,                0.74769,                 0.3866,                 1.6645,                0.81156,                 1.1647,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.6766,                0.86014,                 1.1687,                0.80871,                0.65928,                0.74705,                0.39165,                 1.6344,                0.83785,                 1.1677,               0.001967,               0.001967,               0.001967
                      8,                 1.6656,                0.87078,                 1.1804,                0.83152,                0.65214,                0.75347,                0.40113,                 1.5994,                0.80864,                 1.1391,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.6788,                0.87258,                 1.1716,                0.81823,                0.63695,                0.73966,                0.39174,                 1.6288,                 0.8146,                 1.1561,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.6834,                0.87464,                 1.1808,                0.80937,                0.62034,                0.72635,                0.37465,                 1.6945,                 0.8327,                 1.1715,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.7167,                0.88381,                 1.1848,                 0.8318,                0.65348,                0.74929,                0.38372,                  1.673,                 0.8131,                 1.1693,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.7069,                  0.885,                 1.1726,                0.82413,                0.63914,                0.74366,                 0.3912,                 1.6431,                0.81581,                 1.1528,               0.001934,               0.001934,               0.001934
                     13,                 1.6647,                0.86611,                 1.1847,                0.82498,                0.64072,                 0.7424,                0.38935,                 1.6553,                0.80833,                 1.1561,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.6963,                0.89205,                 1.1965,                0.79954,                0.62788,                0.72877,                0.36624,                 1.7157,                0.84064,                 1.1879,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.6875,                0.87718,                 1.1702,                0.81091,                0.64061,                0.73924,                0.38985,                 1.6178,                0.83977,                 1.1501,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.6626,                 0.8632,                 1.1667,                0.81401,                0.65468,                0.74879,                0.38957,                 1.6422,                0.84069,                 1.1552,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.6928,                0.86216,                 1.1691,                0.82699,                0.65229,                0.75266,                0.40099,                 1.6186,                0.79265,                 1.1519,               0.001901,               0.001901,               0.001901
                     18,                 1.6815,                0.88227,                 1.1769,                0.82139,                  0.651,                0.75097,                0.39803,                 1.6239,                0.80376,                 1.1476,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.7059,                0.88378,                 1.1791,                0.82898,                0.63996,                0.74243,                0.37726,                 1.6952,                0.82754,                 1.1716,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.7119,                0.87394,                 1.1832,                0.81453,                0.64317,                0.74558,                0.39351,                 1.6185,                0.80007,                 1.1419,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.6715,                0.85994,                 1.1575,                 0.8213,                0.63751,                0.74217,                0.39885,                 1.6129,                0.79034,                 1.1435,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.6488,                0.86324,                 1.1704,                0.82615,                 0.6528,                0.74879,                0.39737,                 1.6066,                0.80627,                 1.1491,               0.001868,               0.001868,               0.001868
                     23,                 1.6599,                0.85501,                  1.165,                0.82311,                0.65741,                0.75316,                0.39429,                 1.5994,                0.80748,                 1.1481,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.6606,                0.86056,                 1.1711,                0.82066,                0.65896,                0.75146,                0.39995,                 1.6008,                0.80809,                 1.1478,              0.0018548,              0.0018548,              0.0018548
