                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9227,                 1.8651,                 1.2343,                0.89164,                0.26192,                0.51399,                0.24824,                 1.8746,                 2.2143,                 1.1991,                0.00052,                0.00052,                0.00052
                      2,                 1.9259,                 1.1905,                   1.27,                0.76445,                0.47501,                0.57024,                0.25511,                 1.9951,                 1.5977,                 1.2442,               0.001053,               0.001053,               0.001053
                      3,                 1.9927,                 1.1689,                 1.2924,                0.72477,                0.50684,                0.59079,                0.26009,                 1.9949,                 1.2144,                 1.2774,              0.0015789,              0.0015789,              0.0015789
                      4,                 1.9684,                 1.1806,                 1.2997,                0.73868,                0.55012,                0.61925,                0.26127,                 2.0147,                  1.167,                 1.3217,              0.0019604,              0.0019604,              0.0019604
                      5,                  2.003,                 1.1959,                 1.3105,                0.70973,                0.52328,                0.59394,                0.24785,                 2.0282,                 1.2052,                 1.3206,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.9634,                  1.165,                 1.2891,                0.71296,                0.53895,                0.60307,                0.24897,                 2.0516,                 1.1788,                  1.333,              0.0019472,              0.0019472,              0.0019472
                      7,                 1.9858,                 1.1398,                 1.3112,                0.72928,                 0.5536,                  0.617,                0.26112,                 1.9955,                 1.1365,                 1.3268,               0.001934,               0.001934,               0.001934
                      8,                  2.018,                 1.1874,                 1.3193,                0.70478,                0.53559,                0.59876,                0.24268,                 2.0245,                 1.2012,                 1.3434,              0.0019208,              0.0019208,              0.0019208
                      9,                  1.987,                 1.1463,                 1.2927,                0.73801,                0.55912,                0.63828,                0.27994,                 1.9428,                 1.1157,                 1.2998,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.9807,                 1.1406,                 1.3094,                  0.727,                0.55579,                0.63653,                0.28436,                 1.9245,                  1.097,                 1.3046,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.9657,                 1.1424,                 1.3019,                0.72604,                0.54111,                0.61757,                0.26444,                 1.9923,                 1.1282,                 1.3202,              0.0018812,              0.0018812,              0.0018812
                     12,                   1.95,                 1.1224,                 1.3151,                0.73899,                0.54565,                0.62679,                0.27176,                 1.9906,                 1.1027,                 1.3199,               0.001868,               0.001868,               0.001868
